300: ftp://mirror.csclub.uwaterloo.ca/x.org/X11R7.7/src/font/
200: filename content-length last-modified file-type
201: "font-bitstream-type1-1.0.3.tar.gz" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-cronyx-cyrillic-1.0.3.tar.bz2" 59 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-cronyx-cyrillic-1.0.3.tar.gz" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-cursor-misc-1.0.3.tar.bz2" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-cursor-misc-1.0.3.tar.gz" 54 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-daewoo-misc-1.0.3.tar.bz2" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-daewoo-misc-1.0.3.tar.gz" 54 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-dec-misc-1.0.3.tar.bz2" 52 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-dec-misc-1.0.3.tar.gz" 51 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-ibm-type1-1.0.3.tar.bz2" 53 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-ibm-type1-1.0.3.tar.gz" 52 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-isas-misc-1.0.3.tar.bz2" 53 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-isas-misc-1.0.3.tar.gz" 52 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-jis-misc-1.0.3.tar.bz2" 52 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-jis-misc-1.0.3.tar.gz" 51 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-micro-misc-1.0.3.tar.bz2" 54 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-micro-misc-1.0.3.tar.gz" 53 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-misc-cyrillic-1.0.3.tar.bz2" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-misc-cyrillic-1.0.3.tar.gz" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-misc-ethiopic-1.0.3.tar.bz2" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-misc-ethiopic-1.0.3.tar.gz" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-misc-meltho-1.0.3.tar.bz2" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-misc-meltho-1.0.3.tar.gz" 54 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-misc-misc-1.1.2.tar.bz2" 53 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-misc-misc-1.1.2.tar.gz" 52 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-mutt-misc-1.0.3.tar.bz2" 53 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-mutt-misc-1.0.3.tar.gz" 52 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-schumacher-misc-1.1.2.tar.bz2" 59 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-schumacher-misc-1.1.2.tar.gz" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-screen-cyrillic-1.0.4.tar.bz2" 59 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-screen-cyrillic-1.0.4.tar.gz" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-sony-misc-1.0.3.tar.bz2" 53 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-sony-misc-1.0.3.tar.gz" 52 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-sun-misc-1.0.3.tar.bz2" 52 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-sun-misc-1.0.3.tar.gz" 51 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-util-1.3.0.tar.bz2" 48 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-util-1.3.0.tar.gz" 47 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-winitzki-cyrillic-1.0.3.tar.bz2" 61 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-winitzki-cyrillic-1.0.3.tar.gz" 60 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-xfree86-type1-1.0.4.tar.bz2" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "font-xfree86-type1-1.0.4.tar.gz" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
